White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
Moondance,morlok,1702,1429,1-0,180+0,A84,77,2025.05.30
JozeG,eisinger,1852,1659,1-0,180+0,D01,71,2025.05.30
ChequeMade,Oak,1677,1559,1-0,180+0,C23,75,2025.05.30
Crown,haberdashery,1569,1674,1-0,300+0,D06,53,2025.05.30
defensamaya,Mentallytough,1521,1515,0-1,180+0,A00,68,2025.05.30
konozrout,Geforce,2054,2056,0-1,300+0,A22,108,2025.05.30
FilthyAngel,dcawai,1635,1558,1-0,180+0,B07,55,2025.05.30
Isegrim,Guimasbec,1518,1897,0-1,180+0,E92,60,2025.05.30
Moondance,PinkFloydWall,1713,1600,0-1,180+0,C30,38,2025.05.30
eisinger,JozeG,1647,1864,1-0,180+0,B06,109,2025.05.30
morlok,PinkFloydWall,1417,1612,1-0,180+0,C21,63,2025.05.30
damouno,Moondance,2068,1715,1-0,180+0,C40,77,2025.05.30
Oak,ChequeMade,1548,1688,1-0,180+0,C23,101,2025.05.30
Qidel,ruatuti,1548,1469,0-1,180+0,C02,60,2025.05.30
PinkFloydWall,FilthyAngel,1603,1644,1-0,180+0,B01,29,2025.05.30
morlok,defensamaya,1423,1515,0-1,180+0,B07,68,2025.05.30
wasz,DonTBeadick,1315,1354,0-1,600+0,C50,84,2025.05.30
kerimli,dcawai,1780,1545,0-1,180+0,B06,54,2025.05.30
krell,melun,1674,1721,1-0,180+0,D51,131,2025.05.30
Guimasbec,Isegrim,1895,1520,1-0,180+0,E94,33,2025.05.30
RamJo,BorkaTower,898,2741,0-1,180+0,C00,14,2025.05.30
Moondance,damouno,1717,2066,0-1,180+0,B20,104,2025.05.30
FilthyAngel,PinkFloydWall,1637,1610,1-0,180+0,D00,123,2025.05.30
BorkaTower,RamJo,2741,898,1-0,180+0,A02,19,2025.05.30
Svspk,bartab,1739,1562,1-0,600+12,C34,69,2025.05.30
JozeG,eisinger,1860,1651,1-0,180+0,A46,67,2025.05.30
Isegrim,Guimasbec,1522,1893,0-1,180+0,E73,34,2025.05.30
ChequeMade,Oak,1683,1553,1-0,180+0,C23,25,2025.05.30
rusalka,talkinfool,1270,1252,0-1,120+12,D02,68,2025.05.30
ruatuti,Qidel,1475,1542,0-1,180+0,C47,56,2025.05.30
Oak,ChequeMade,1558,1678,0-1,180+0,C31,28,2025.05.30
leevorotation,JozeG,1997,1865,1-0,180+0,B07,77,2025.05.30
kamenozrout,Geforce,1986,2058,1/2-1/2,300+0,C50,88,2025.05.30
Guimasbec,morlok,1892,1424,1-0,180+0,A88,45,2025.05.30
damouno,Moondance,2064,1719,1-0,180+0,C40,77,2025.05.30
PinkFloydWall,FilthyAngel,1618,1629,0-1,180+0,B01,110,2025.05.30
Zelp,Rajeevmaheshwari,1908,1415,1-0,180+0,A01,57,2025.05.30
ChequeMade,Oak,1672,1564,1-0,180+0,B07,79,2025.05.30
Qidel,Guimasbec,1528,1906,1-0,180+0,C44,35,2025.05.30
JozeG,leevorotation,1870,1992,0-1,180+0,A46,126,2025.05.30
popasile,ImgonnaMateYou,1635,1587,1/2-1/2,240+0,C34,118,2025.05.30
dominospizza,ChessAttack,1709,1605,1-0,180+0,A00,91,2025.05.30
Rajeevmaheshwari,Zelp,1416,1907,0-1,180+0,B02,100,2025.05.30
Moondance,damouno,1721,2062,0-1,180+0,B21,66,2025.05.30
FilthyAngel,PinkFloydWall,1638,1609,0-1,180+0,C46,66,2025.05.30
Oak,ChequeMade,1562,1674,1/2-1/2,180+0,C31,88,2025.05.30
Geforce,CeruleanJS,2068,1970,0-1,300+0,C49,52,2025.05.30
Patatin,BouncedCheck,1275,1286,1-0,300+0,B00,1,2025.05.30
Guimasbec,morlok,1905,1425,1-0,180+0,A88,51,2025.05.30
